Entity,n_observed_edges
'eKapaakea',1
'eKarel_De_Gucht',2
'eKaren_Ellemann',1
'eKaren_Jespersen',2
'eKarl-Theodor_zu_Guttenberg',1
"'eKarl_August,_Grand_Duke_of_Saxe-Weimar-Eisenach'",2
'eKarl_Carstens',4
'eKarl_Schiller',1
"'eKarl_Theodor,_Duke_in_Bavaria'",1
'eKarlis_Ulmanis',1
'eKarunanidhi',1
'eKatarzyna_Sobieska',1
'eKathleen_Blanco',1
'eKatsuya_Okada',3
'eKay_A._Orr',1
'eKay_Johnson',1
'eKazimierz_Marcinkiewicz',1
'eKeith_Allen_(actor)',1
'eKekuanaoa',4
'eKenny_Guinn',1
'eKeohokalole',1
'eKeopuolani',2
'eKevin_Rudd',2
'eKhosrau_II',1
'eKim_Campbell',1
'eKim_Il-sung',1
'eKim_Jong-il',1
'eKina`u',4
'eKingsley_Amis',1
'eKirk_Douglas',1
'eKjell_Magne_Bondevik',2
'eKlaus_Kinkel',1
'eKlaus_Kinski',1
'eKoichiro_Genba',1
'eKonrad_Adenauer',1
'eKonrad_I_of_Masovia',1
'eKonstantin_Chernenko',2
'eKonstantin_Pats',3
'eKonstantinos_Mitsotakis',2
'eKris_Jenner',1
'eKrishna_(actor)',1
'eKunigunda_of_Halych',2
'eKunigunde_of_Hohenstaufen',2
'eKurt_Beck',1
'eKurt_Georg_Kiesinger',2
'eKurt_Schmucker',2
'eKurt_Waldheim',2
'eKurt_von_Schleicher',1
'eLadislaus_I_of_Hungary',1
'eLadislaus_of_Naples',1
'eLady_Bird_Johnson',1
'eLady_Catherine_Grey',1
'eLal_Bahadur_Shastri',1
'eLalla_Latifa',1
'eLamberto_Dini',2
'eLandgravine_Elisabeth_Amalie_of_Hesse-Darmstadt',4
'eLandgravine_Friederike_of_Hesse-Darmstadt',2
'eLars_Lokke_Rasmussen',2
'eLaszlo_Kover',1
'eLaszlo_Solyom',1
'eLaura_Bush',2
'eLaurence_Hugh_Frost',1
'eLaurens_Jan_Brinkhorst',1
'eLaurent_Fabius',5
'eLaurent_Gbagbo',1
'eLaurent_Wauquiez',2
'eLauritz_Lauritzen',2
'eLech_Kaczynski',2
'eLee_Kuan_Yew',2
'eLee_Strasberg',1
'eLee_Teng-hui',1
'eLene_Espersen',2
'eLennart_Meri',1
'eLenore_Romney',1
'eLeo_I_the_Thracian',1
'eLeo_Penn',3
'eLeo_Tindemans',3
'eLeo_VI_the_Wise',1
'eLeon_Blum',3
'eLeon_Bourgeois',2
'eLeon_Delacroix',2
'eLeon_Gambetta',2
'eLeon_Panetta',2
'eLeonid_Kuchma',1
"'eLeopold,_Duke_of_Lorraine'",1
"'eLeopold,_Grand_Duke_of_Baden'",2
"'eLeopold_I,_Holy_Roman_Emperor'",3
"'eLeopold_II,_Grand_Duke_of_Tuscany'",2
"'eLeopold_II,_Holy_Roman_Emperor'",6
"'eLeopold_III,_Margrave_of_Austria'",2
'eLeopold_III_of_Belgium',1
'eLeopold_II_of_Belgium',1
"'eLeopold_IV,_Duke_of_Anhalt'",2
'eLeopold_I_of_Belgium',2
'eLeopold_Sedar_Senghor',1
'eLeopoldo_Calvo-Sotelo',1
'eLeszek_II_the_Black',2
'eLeszek_I_the_White',4
'eLeszek_Miller',1
'eLetizia_Ramolino',8
'eLiaquat_Ali_Khan',1
'eLicinius',2
"'eLilian,_Princess_of_Rethy'",1
'eLillian_Gordy_Carter',1
'eLinda_Christian',1
'eLindy_Boggs',1
'eLionel_Jospin',5
'eLiu_Shaoqi',1
'eLivia',1
'eLloyd_Bridges',2
'eLloyd_Osbourne',1
'eLodewijk_Asscher',1
'eLolo_Soetoro',2
'eLon_Chaney_(Sr.)',1
'eLord_Byron',1
"'eLorenzo_de_Medici,_Duke_of_Urbino'",3
'eLothair_I',1
'eLothar_Bisky',2
'eLothar_Bolz',1
'eLothar_de_Maiziere',1
'eLou_Henry_Hoover',1
"'eLouis,_Dauphin_of_France,_Duke_of_Burgundy'",1
"'eLouis,_Dauphin_of_France_(1729-1765)'",3
"'eLouis,_Duke_of_Savoy'",4
"'eLouis,_Grand_Dauphin'",2
"'eLouis,_King_of_Etruria'",1
'eLouis_Aliot',1
"'eLouis_Antoine,_Duke_of_Angouleme'",3
'eLouis_Beel',1
"'eLouis_I,_Duke_of_Anjou'",1
"'eLouis_II,_Duke_of_Bavaria'",1
'eLouis_II_of_Naples',2
"'eLouis_IV,_Holy_Roman_Emperor'",2
"'eLouis_IX,_Landgrave_of_Hesse-Darmstadt'",1
'eLouis_IX_of_France',2
'eLouis_I_of_Hungary',2
'eLouis_I_of_Spain',2
'eLouis_Malle',1
'eLouis_Mermaz',6
'eLouis_Philippe_I',2
"'eLouis_Philippe_I,_Duke_of_Orleans'",1
"'eLouis_Rudolph,_Duke_of_Brunswick-Luneburg'",2
'eLouis_VIII_of_France',3
'eLouis_VII_of_France',1
'eLouis_VI_of_France',2
'eLouis_XIII_of_France',4
'eLouis_XII_of_France',3
'eLouis_XIV_of_France',6
'eLouis_XI_of_France',2
'eLouis_XVIII_of_France',1
'eLouis_XVI_of_France',1
'eLouis_XV_of_France',4
'eLouis_X_of_France',1
"'eLouis_dOrleans,_Duke_of_Orleans'",1
'eLouis_the_German',1
'eLouis_the_Pious',3
'eLouis_the_Stammerer',1
'eLouisa_Adams',1
'eLouisa_Ulrika_of_Prussia',2
'eLouise_Elisabeth_dOrleans',1
'eLouise_Elisabeth_of_France',3
'eLouise_Marie_Therese_dArtois',1
'eLouise_of_Hesse-Kassel',7
'eLouise_of_Mecklenburg-Strelitz',6
'eLouise_of_Orleans',3
'eLouise_of_Sweden',5
'eLouise_of_the_Netherlands',2
'eLoyola_de_Palacio',2
'eLuc_Chatel',4
'eLucette_Michaux-Chevry',2
'eLucia_Bose',1
'eLucien_Bouchard',1
'eLucille_Ball',1
'eLucretia_Garfield',1
'eLucy_Mack_Smith',1
'eLudvik_Svoboda',1
'eLudwig_Erhard',3
'eLudwig_III_of_Bavaria',1
'eLudwig_I_of_Bavaria',2
'eLuigi_Einaudi',2
"'eLuis_Alves_de_Lima_e_Silva,_Duke_of_Caxias'",1
'eLuis_Carrero_Blanco',1
'eLuis_I_of_Portugal',1
'eLuisa_de_Guzman',2
"'eLuitpold,_Prince_Regent_of_Bavaria'",2
'eLuiz_Inacio_Lula_da_Silva',1
'eLyndon_B._Johnson',2
'eMadeleine_Albright',2
'eMaggie_Smith',1
'eMagnentius',1
'eMagnus_Barefoot',1
'eMagnus_IV_of_Sweden',1
'eMagnus_Maximus',4
'eMahathir_Mohamad',1
'eMahendra_of_Nepal',2
'eMahesh_Bhatt',1
'eMahidol_Adulyadej',1
'eMahmud_II',2
'eMalcolm_Fraser',2
'eMalcolm_III_of_Scotland',4
'eMalcolm_II_of_Scotland',1
'eMalcolm_Turnbull',2
'eMamie_Eisenhower',2
"'eManfred,_King_of_Sicily'",2
'eManfred_Worner',1
'eManuel_Belgrano',1
'eManuel_II_Palaiologos',1
'eManuel_II_of_Portugal',2
'eManuel_I_of_Portugal',2
'eManuel_L._Quezon',2
'eManuel_Roxas',1
'eManuel_de_Arriaga',1
'eMao_Zedong',3
'eMarais_Viljoen',1
'eMarcel_Dassault',1
'eMarcello_Mastroianni',1
'eMarcelo_Caetano',1
'eMarco_Minghetti',1
'eMarcus_Vipsanius_Agrippa',2
'eMarek_Belka',1
"'eMargaret,_Countess_of_Anjou'",1
"'eMargaret_Holland,_Duchess_of_Clarence'",1
"'eMargaret_I,_Countess_of_Flanders'",4
"'eMargaret_II,_Countess_of_Flanders'",1
"'eMargaret_III,_Countess_of_Flanders'",1
'eMargaret_I_of_Denmark',1
'eMargaret_Leijonhufvud',1
'eMargaret_Thatcher',1
'eMargaret_Tudor',1
"'eMargaret_of_Austria,_Queen_of_Bohemia'",1
"'eMargaret_of_Austria,_Queen_of_Spain'",4
'eMargaret_of_Bavaria',1
'eMargaret_of_Brabant',2
'eMargaret_of_Durazzo',3
"'eMargaret_of_France,_Queen_of_England'",1
'eMargaret_of_Geneva',2
'eMargaret_of_Provence',3
"'eMargaret_of_Savoy,_Countess_of_Saint-Pol'",1
"'eMargaret_of_Savoy,_Duchess_of_Anjou'",2
'eMargaret_of_Valois',1
'eMargery_Wentworth',2
'eMargherita_of_Savoy',3
'eMargo_(actress)',1
'eMargravine_Friederike_of_Brandenburg-Schwedt',3
'eMargrethe_II_of_Denmark',1
'eMaria_Alexandrovna_(Marie_of_Hesse)',5
'eMaria_Amalia_of_Austria',1
'eMaria_Amalia_of_Saxony',3
'eMaria_Anna_of_Austria',2
'eMaria_Anna_of_Bavaria_(1551-1608)',4
'eMaria_Anna_of_Bavaria_(1574-1616)',1
'eMaria_Anna_of_Savoy',1
'eMaria_Anna_of_Spain',2
'eMaria_Antonia_Ferdinanda_of_Spain',1
"'eMaria_Beatrice_dEste,_Duchess_of_Massa'",2
'eMaria_Beatrice_of_Savoy',1
'eMaria_Carolina_of_Austria',2
"'eMaria_Christina,_Duchess_of_Teschen'",1
'eMaria_Christina_of_Austria',2
'eMaria_Christina_of_the_Two_Sicilies',3
'eMaria_Cristina_of_Savoy',2
'eMaria_Feodorovna_(Dagmar_of_Denmark)',4
'eMaria_Feodorovna_(Sophie_Dorothea_of_Wurttemberg)',8
'eMaria_Francisca_of_Savoy',1
'eMaria_II_of_Portugal',4
'eMaria_I_of_Portugal',2
'eMaria_Isabella_of_Spain',5
'eMaria_Josepha_of_Austria',5
"'eMaria_Josepha_of_Saxony,_Dauphine_of_France'",3
'eMaria_Laskarina',1
'eMaria_Leopoldina_of_Austria',5
'eMaria_Luisa_of_Parma',5
'eMaria_Luisa_of_Savoy',4
'eMaria_Luisa_of_Spain',6
'eMaria_Pia_of_Savoy',2
'eMaria_Sophia_of_Neuburg',2
'eMaria_Teresa_Fernandez_de_la_Vega',1
'eMaria_Theresa',7
'eMaria_Theresa_of_Austria',7
"'eMaria_Theresa_of_Austria,_Queen_of_the_Two_Sicilies'",2
"'eMaria_Theresa_of_Austria-Este,_Queen_of_Sardinia'",4
'eMaria_Theresa_of_Austria-Este_(1849-1919)',1
'eMaria_Theresa_of_Austria_(1816-1867)',3
'eMaria_Theresa_of_Spain',1
'eMaria_Vittoria_dal_Pozzo',1
"'eMaria_of_Aragon,_Queen_of_Portugal'",2
"'eMaria_of_Austria,_Holy_Roman_Empress'",6
'eMaria_of_Montpellier',1
'eMariana_Victoria_of_Spain',2
'eMariana_of_Austria',2
'eMariano_Rajoy',4
'eMariano_Rumor',2
"'eMarie,_Duchess_of_Auvergne'",2
'eMarie-Josee_Roig',2
'eMarie_Antoinette',1
'eMarie_Casimire_Louise_de_La_Grange_dArquien',1
'eMarie_Curie',2
'eMarie_Henriette_of_Austria',1
'eMarie_Jeanne_Baptiste_of_Savoy-Nemours',1
'eMarie_Leszczynska',2
"'eMarie_Louise,_Duchess_of_Parma'",2
'eMarie_Malavoy',1
'eMarie_Therese_of_Austria',2
'eMarie_de_Medici',6
'eMarie_of_Anjou',2
"'eMarie_of_Brabant,_Queen_of_France'",2
'eMarie_of_Champagne',2
"'eMarie_of_Luxembourg,_Countess_of_Vendome'",1
'eMarie_of_Romania',3
'eMarilu_Henner',1
'eMario_Bava',1
'eMario_Monti',4
'eMario_Scelba',1
'eMario_Soares',2
'eMarisol_Touraine',1
'eMark_Antony',2
'eMark_Eyskens',3
'eMark_Sanford',1
'eMark_Warner',1
'eMarshall_Carter',1
'eMart_Laar',1
'eMartha_Bulloch_Roosevelt',1
'eMartha_Washington',2
'eMartin_Bangemann',2
'eMartin_I_of_Sicily',1
'eMartin_Malvy',2
'eMartin_Sheen',2
'eMartin_Van_Buren',1
'eMartin_of_Aragon',2
'eMartine_Aubry',3
'eMartti_Ahtisaari',1
"'eMary,_Queen_of_Hungary'",1
"'eMary,_Queen_of_Scots'",1
'eMary_I_of_England',2
'eMary_Martin',1
'eMary_McAleese',1
'eMary_Robinson',1
'eMary_Sinclair',1
'eMary_Todd_Lincoln',1
"'eMary_Tudor,_Queen_of_France'",2
'eMary_Wollstonecraft',1
'eMary_de_Bohun',3
'eMary_of_Burgundy',1
'eMary_of_Guise',1
"'eMary_of_Hungary,_Queen_of_Naples'",2
'eMary_of_Modena',1
'eMary_of_Teck',5
'eMarylise_Lebranchu',2
'eMassimo_DAlema',2
"'eMatilda_II,_Countess_of_Boulogne'",1
'eMatilda_of_Boulogne',2
'eMatilda_of_Flanders',3
'eMatilda_of_Scotland',1
'eMatthew_Kantakouzenos',2
"'eMatthias,_Holy_Roman_Emperor'",1
'eMatthias_Corvinus',1
'eMatthias_Platzeck',1
'eMatyas_Rakosi',1
'eMauno_Koivisto',2
'eMaureen_OSullivan',1
"'eMaurice,_Elector_of_Saxony'",1
'eMaurice_Bourges-Maunoury',8
'eMaurice_Couve_de_Murville',3
'eMaurice_Druon',2
'eMaurice_Faure',1
'eMaurice_Herzog',1
'eMaurice_Jarre',1
'eMaurice_Lippens_(governor)',1
'eMaurice_Tourneur',1
'eMaxentius',3
'eMaxime_Verhagen',2
'eMaximian',4
"'eMaximilian_I,_Holy_Roman_Emperor'",3
"'eMaximilian_II,_Holy_Roman_Emperor'",5
"'eMaximilian_III,_Archduke_of_Austria'",1
"'eMaximilian_II_Emanuel,_Elector_of_Bavaria'",1
'eMaximilian_I_Joseph_of_Bavaria',7
'eMaximinus_Thrax',1
'eMehmed_III',1
'eMehmed_IV',2
'eMehmed_V',1
'eMehmed_VI',1
'eMehmood_Ali',1
"'eMeinhard,_Duke_of_Carinthia'",2
'eMeles_Zenawi',1
"'eMelisende,_Queen_of_Jerusalem'",1
'eMervyn_Johns',1
'eMichael_D._Higgins',1
'eMichael_III',1
'eMichael_I_of_Romania',1
'eMichael_I_of_Russia',1
'eMichael_Ignatieff',1
'eMichael_Jeffery',1
'eMichael_Mayr',1
'eMichael_Noonan',2
'eMichael_Redgrave',3
'eMichael_VIII_Palaiologos',1
'eMichaelle_Jean',1
'eMicheal_Martin',1
'eMichel_Audiard',1
'eMichel_Barnier',5
'eMichel_Daerden',1
'eMichel_Debre',7
'eMichel_Delebarre',2
'eMichel_Mercier',1
'eMichel_Rocard',3
'eMichel_Vauzelle',1
'eMichele_Alliot-Marie',5
'eMicheline_Calmy-Rey',2
'eMichelle_Bachelet',2
'eMicky_Dolenz',1
'eMieszko_III_the_Old',3
'eMieszko_IV_Tanglefoot',2
'eMieszko_I_of_Poland',3
"'eMiguel,_Duke_of_Braganza'",1
'eMiguel_I_of_Portugal',3
'eMiguel_Primo_de_Rivera',1
'eMihai_Razvan_Ungureanu',1
'eMike_Huckabee',1
'eMike_Johanns',1
'eMike_Thompson_(California_politician)',1
'eMikulas_Dzurinda',2
'eMilena_Vukotic',2
'eMillard_Fillmore',1
'eMilo_Dukanovic',1
'eMilos_Zeman',2
'eMinnie_Riperton',1
'eMircea_Geoana',1
'eMircea_I_of_Wallachia',1
'eMirek_Topolanek',2
'eMitch_Daniels',1
'eMitt_Romney',1
'eMizan_Zainal_Abidin_of_Terengganu',1
'eMogens_Lykketoft',2
'eMohamed_El_Yazghi',1
'eMohamed_Ghannouchi',1
'eMohamed_Morsi',1
'eMohammad_Ali_Shah_Qajar',1
'eMohammad_Khatami',1
'eMohammad_Reza_Pahlavi',1
'eMohammed_Karim_Lamrani',1
'eMohammed_Mzali',1
'eMohammed_V_of_Morocco',1
'eMomir_Bulatovic',1
'eMongkut',3
'eMoon_Moon_Sen',2
'eMoritz_Leuenberger',2
'eMoshe_Sharett',1
'eMoustapha_Niasse',1
'eMstislav_I_of_Kiev',1
'eMuammar_Gaddafi',2
'eMuammar_al-Gaddafi',2
'eMuhammad_Ali_Jinnah',2
'eMuhammad_Rafiq_Tarar',1
'eMumtaz_Mahal',1
'eMurad_I',1
'eMurad_II',1
'eMustafa_Kemal_Ataturk',2
'eMwai_Kibaki',1
'eMykola_Azarov',1
'eN._T._Rama_Rao',1
'eNajib_Razak',1
'eNancy_Pelosi',1
'eNancy_Reagan',1
'eNaomi_Foner_Gyllenhaal',2
'eNaoto_Kan',5
'eNapoleon',1
'eNargis',1
'eNasir_Hussain',1
'eNatalie_Wood',1
'eNathalie_Kosciusko-Morizet',2
'eNavin_Ramgoolam',1
'eNawaz_Sharif',2
'eNayef_bin_Abdul-Aziz_Al_Saud',1
'eNeetu_Singh',1
'eNelson_Mandela',1
'eNelson_Rockefeller',1
'eNero',1
'eNestor_Kirchner',1
'eNeville_Chamberlain',1
'eNicholas_II_of_Russia',1
'eNicholas_I_of_Montenegro',3
'eNicholas_I_of_Russia',5
'eNicola_Mancino',2
'eNicolaas_Havenga',2
'eNicolaas_Johannes_Diederichs',2
'eNicolaas_Pierson',1
'eNicolas_Sarkozy',9
'eNiels_Neergaard',1
'eNikephoros_II_Phokas',2
'eNikita_Khrushchev',1
'eNikolai_Ryzhkov',1
'eNikolai_Tikhonov',1
'eNilde_Iotti',1
'eNoel_Gayler',1
'eNorm_Coleman',1
"'eNuno_Jose_Severo_de_Mendoca_Rolim_de_Moura_Barreto,_1st_Duke_of_Loule'",2
'eNurhaci',1
'eNusrat_Bhutto',1
'eNutan',1
'eOctavia_the_Younger',1
"'eOdo_III,_Duke_of_Burgundy'",1
'eOlaf_II_of_Norway',1
'eOlaf_Scholz',1
'eOlav_V_of_Norway',2
'eOlga_Constantinovna_of_Russia',2
'eOlga_Feodorovna_of_Baden',3
'eOlive_Osmond',2
'eOliver_Cromwell',1
'eOlivier_Chastel',2
'eOlivier_Guichard',1
'eOlli_Rehn',2
'eOlof_Palme',1
'eOlof_Skotkonung',2
'eOlympia_Snowe',1
'eOona_ONeill',1
'eOscar_Carmona',2
'eOscar_II_of_Sweden',4
'eOscar_I_of_Sweden',2
'eOscar_Luigi_Scalfaro',3
'eOskar_Lafontaine',4
"'eOtto,_King_of_Greece'",1
'eOtto_Frank',1
'eOtto_Graf_Lambsdorff',2
'eOtto_Grotewohl',1
"'eOtto_Henry,_Elector_Palatine'",2
"'eOtto_I,_Count_of_Savoy'",2
"'eOtto_IV,_Holy_Roman_Emperor'",2
"'eOtto_IV,_Margrave_of_Brandenburg-Stendal'",2
'eOtto_Strandman',2
'eOtto_von_Bismarck',1
'eOttokar_II_of_Bohemia',2
'eOttokar_I_of_Bohemia',1
'eOzzie_Nelson',1
'eOzzy_Osbourne',1
'ePaavo_Lipponen',2
'ePal_Schmitt',2
'ePankaj_Kapur',1
'ePark_Chung-hee',1
'ePascal_Clement',1
'ePascal_Couchepin',1
'ePascoal_Ranieri_Mazzilli',1
'ePat_Brown',2
'ePat_Nixon',1
'ePatricio_Aylwin',1
'ePatrick_Devedjian',2
'ePatrick_Hillery',1
'ePatty_Duke',2
'ePaul-Emile_Janson',2
'ePaul-Henri_Spaak',2
'ePaul_Deschanel',3
'ePaul_Doumer',2
"'ePaul_Frederick,_Grand_Duke_of_Mecklenburg-Schwerin'",1
'ePaul_Hymans',5
'ePaul_I_of_Russia',8
'ePaul_Keating',2
'ePaul_Painleve',3
'ePaul_Quiles',2
'ePaul_Reynaud',1
'ePaul_Simon_(politician)',1
'ePaul_Sorvino',1
'ePaul_Tsongas',1
'ePaul_Vanden_Boeynants',2
'ePaul_of_Greece',2
'ePaul_von_Hindenburg',1
'ePauline_Marois',2
'ePedro_Armendariz',1
'ePedro_II_of_Brazil',1
'ePedro_I_of_Brazil',3
'ePedro_Solbes',2
'ePedro_V_of_Portugal',2
"'ePedro_de_Araujo_Lima,_Marquis_of_Olinda'",1
'ePeer_Steinbruck',2
'ePehr_Evind_Svinhufvud',2
'ePer_Stig_Moller',2
'ePervez_Musharraf',2
'ePete_Wilson',1
"'ePeter,_King_of_Hungary'",1
'ePeter_Fonda',1
'ePeter_Hall_(director)',1
"'ePeter_I,_Duke_of_Bourbon'",1
'ePeter_III_of_Aragon',2
'ePeter_III_of_Portugal',3
'ePeter_III_of_Russia',2
'ePeter_II_of_Portugal',2
'ePeter_II_of_Russia',1
'ePeter_IV_of_Aragon',3
'ePeter_I_of_Portugal',2
'ePeter_I_of_Serbia',1
'ePeter_Lawford',1
'ePeter_Medgyessy',1
'ePeter_Struck',2
'ePeter_of_Castile',2
'ePeter_the_Great',3
'ePetre_P._Carp',1
'ePetre_Roman',1
'ePetronilla_of_Aragon',3
"'ePhilip,_Duke_of_Parma'",2
"'ePhilip_I,_Count_of_Boulogne'",1
"'ePhilip_I,_Count_of_Flanders'",1
"'ePhilip_I,_Duke_of_Brabant'",1
"'ePhilip_I,_Duke_of_Burgundy'",1
'ePhilip_III_of_France',3
'ePhilip_III_of_Navarre',2
'ePhilip_III_of_Spain',3
'ePhilip_II_of_France',2
'ePhilip_II_of_Macedon',1
'ePhilip_II_of_Spain',5
'ePhilip_IV_of_France',4
'ePhilip_IV_of_Spain',5
'ePhilip_I_of_Castile',5
'ePhilip_I_of_France',2
'ePhilip_VI_of_France',1
'ePhilip_V_of_France',1
'ePhilip_V_of_Spain',10
"'ePhilip_William,_Elector_Palatine'",4
'ePhilip_of_Swabia',5
'ePhilip_the_Arab',1
'ePhilip_the_Bold',2
'ePhilip_the_Good',1
'ePhilipp_Rosler',1
'ePhilippa_of_Hainault',2
'ePhilippa_of_Lancaster',2
"'ePhilippe,_Duke_of_Orleans'",4
"'ePhilippe,_Duke_of_Orleans,_Regent_of_France'",2
'ePhilippe_Douste-Blazy',4
'ePhilippe_Gomes',2
"'ePhilippe_I,_Duke_of_Orleans'",3
"'ePhilippe_II,_Duke_of_Orleans'",2
'ePhilippe_Maystadt',1
'ePhilippe_Petain',3
'ePhilippe_Seguin',4
'ePhoebe_Ephron',2
'ePier_Luigi_Bersani',2
'ePiero_di_Cosimo_de_Medici',1
'ePierre_Beregovoy',4
'ePierre_Brasseur',1
'ePierre_Curie',2
'ePierre_Frogier',2
'ePierre_Joxe',4
'ePierre_Laval',3
'ePierre_Lellouche',3
'ePierre_Mauroy',3
'ePierre_Mehaignerie',6
'ePierre_Mendes_France',2
'ePierre_Messmer',2
'ePierre_Moscovici',1
'ePierre_Pflimlin',4
'ePierre_Trudeau',3
'ePiet_Hein_Donner',1
'ePiet_de_Jong',1
'ePieter_van_Vollenhoven',1
'ePiye',1
'ePolemon_I_of_Pontus',2
'ePope_Alexander_VI',1
'ePope_John_Paul_II',1
'ePoul_Nyrup_Rasmussen',2
'ePranab_Mukherjee',1
'ePratibha_Patil',1
'ePredrag_Markovic',2
'ePrescott_Bush',1
"'ePrince_Adolphus,_Duke_of_Cambridge'",1
"'ePrince_Alfonso,_Count_of_Caserta'",1
"'ePrince_Amedeo,_Duke_of_Aosta'",1
'ePrince_Bernhard_of_Lippe-Biesterfeld',3
'ePrince_Bernhard_of_the_Netherlands',4
"'ePrince_Bertil,_Duke_of_Halland'",1
"'ePrince_Carl,_Duke_of_Vastergotland'",2
'ePrince_Carl_Philip_of_Sweden',1
'ePrince_Carlos_of_Bourbon-Two_Sicilies',1
'ePrince_Charles_of_Prussia',1
'ePrince_Claus_of_the_Netherlands',1
"'ePrince_Emanuele_Filiberto,_Duke_of_Aosta'",2
'ePrince_Felix_of_Bourbon-Parma',2
"'ePrince_Ferdinand,_Duke_of_Genoa'",2
"'ePrince_Ferdinand_Philippe,_Duke_of_Orleans'",1
'ePrince_Friedrich_Karl_of_Prussia_(1828-1885)',1
'ePrince_George_William_of_Hesse-Darmstadt',2
'ePrince_George_of_Denmark',1
"'ePrince_Gustaf_Adolf,_Duke_of_Vasterbotten'",1
"'ePrince_Henry,_Duke_of_Gloucester'",1
"'ePrince_Jean,_Duke_of_Guise'",1
'ePrince_Louis_of_Battenberg',1
'ePrince_Maximilian_of_Baden',1
'ePrince_Moritz_of_Saxe-Altenburg',2
'ePrince_Naruhiko_Higashikuni',1
"'ePrince_Philip,_Duke_of_Edinburgh'",3
"'ePrince_Philippe,_Count_of_Flanders'",1
"'ePrince_Philippe,_Count_of_Paris'",3
'ePrince_Valdemar_of_Denmark',2
'ePrince_Xavier_of_Bourbon-Parma',1
'ePrincess_Alexandra_of_Saxe-Altenburg',2
'ePrincess_Alice_of_the_United_Kingdom',2
"'ePrincess_Antoinette,_Baroness_of_Massy'",1
'ePrincess_Antoinette_of_Brunswick-Wolfenbuttel',2
'ePrincess_Augusta_Wilhelmine_of_Hesse-Darmstadt',3
'ePrincess_Augusta_of_Bavaria',3
'ePrincess_Augusta_of_Great_Britain',1
'ePrincess_Augusta_of_Saxe-Gotha',4
'ePrincess_Beatrice_of_the_United_Kingdom',1
'ePrincess_Durru_Shehvar',1
'ePrincess_Elisabeth_Sophie_of_Saxe-Altenburg',2
'ePrincess_Henrietta_of_Nassau-Weilburg',2
'ePrincess_Henriette_Adelaide_of_Savoy',2
'ePrincess_Ingeborg_of_Denmark',2
'ePrincess_Isabelle_of_Orleans-Braganza',1
'ePrincess_Isabelle_of_Orleans_(1878-1961)',2
'ePrincess_Josephine_Charlotte_of_Belgium',2
'ePrincess_Karoline_Mathilde_of_Schleswig-Holstein-Sonderburg-Augustenburg',1
'ePrincess_Louise_Caroline_of_Hesse-Kassel',1
'ePrincess_Louise_of_Orleans',1
'ePrincess_Louise_of_Prussia',1
'ePrincess_Ludovika_of_Bavaria',2
'ePrincess_Margaret_of_Connaught',3
'ePrincess_Margriet_of_the_Netherlands',1
'ePrincess_Maria_Anna_of_Anhalt-Dessau',1
'ePrincess_Maria_Annunciata_of_Bourbon-Two_Sicilies',1
'ePrincess_Maria_Antonia_of_the_Two_Sicilies',2
'ePrincess_Maria_Antonietta_of_Bourbon-Two_Sicilies',1
'ePrincess_Maria_Josepha_of_Saxony_(1731-1767)',3
'ePrincess_Maria_Teresa_of_Savoy',1
'ePrincess_Maria_de_las_Mercedes_of_Bourbon-Two_Sicilies',1
'ePrincess_Marie_Isabelle_of_Orleans',2
'ePrincess_Marie_Louise_of_Bourbon-Parma',1
'ePrincess_Marie_of_Orleans_(1865-1909)',2
'ePrincess_Martha_of_Sweden',3
'ePrincess_Mary_Adelaide_of_Cambridge',2
'ePrincess_Sophie_Antoinette_of_Brunswick-Wolfenbuttel',1
'ePrincess_Sophie_of_Bavaria',3
'ePrincess_Thyra_of_Denmark',1
'ePrincess_Victoria_Louise_of_Prussia',2
'ePrithviraj_Kapoor',1
'eProsper_Poullet',3
'ePrzemysl_II',3
'ePtolemy_IX_Lathyros',2
'ePtolemy_I_Soter',3
'ePtolemy_VIII_Physcon',3
'ePtolemy_XII_Auletes',1
'ePuyi',1
'ePyrrhus',1
'ePythodorida_of_Pontus',1
'eQianlong_Emperor',1
'eQueen_Elizabeth_The_Queen_Mother',3
'eQueen_Fabiola_of_Belgium',1
'eQueen_Paola_of_Belgium',3
'eQueen_Silvia_of_Sweden',2
'eQueen_Sofia_of_Spain',1
'eQueen_Sonja_of_Norway',1
'eQueen_Victoria',7
'eQuentin_Bryce',1
'eR._Muthuraman',1
'eRabah_Bitat',1
'eRachida_Dati',1
'eRafael_Arias-Salgado',2
'eRafael_Correa',1
'eRafic_Hariri',1
'eRainer_Barzel',3
'eRaj_Kapoor',2
'eRajendra_Kumar',1
'eRajesh_Khanna',2
'eRajiv_Gandhi',2
'eRajkumar_(actor)',2
'eRakesh_Roshan',1
"'eRalph_de_Neville,_1st_Earl_of_Westmorland'",1
'eRamiz_Alia',1
"'eRamon_Berenguer_IV,_Count_of_Provence'",5
'eRamsay_MacDonald',1
'eRance_Howard',1
'eRandhir_Kapoor',2
'eRanjit_Mallick',1
'eRaymond_Barre',2
'eRaymond_Forni',1
'eRaymond_Marcellin',5
'eRaymond_Massey',1
'eRaymond_Poincare',4
'eRaynald_of_Chatillon',1
'eRegis_Philbin',1
'eReinhard_Heydrich',2
'eReinhold_Maier',2
'eRemo_Gaspari',1
'eRenate_Kunast',3
'eRenaud_Dutreil',3
